,status,cum_value,date
0,1,1.0,2020-02-27
1,1,2.0,2020-03-05
2,1,3.0,2020-03-06
3,1,4.0,2020-03-08
4,1,5.0,2020-03-09
5,3,8.0,2020-03-11
6,9,17.0,2020-03-12
7,7,24.0,2020-03-14
8,15,39.0,2020-03-15
9,11,50.0,2020-03-16
10,24,74.0,2020-03-17
11,20,94.0,2020-03-18
12,27,121.0,2020-03-19
13,18,139.0,2020-03-20
14,42,181.0,2020-03-21
15,38,219.0,2020-03-22
16,409,628.0,2020-03-23
17,412,1040.0,2020-03-24
18,299,1339.0,2020-03-25
19,290,1629.0,2020-03-26
20,392,2021.0,2020-03-27
21,477,2498.0,2020-03-28
22,342,2840.0,2020-03-29
23,590,3430.0,2020-03-30
24,732,4162.0,2020-03-31
25,449,4611.0,2020-04-01
0,1,1.0,2020-03-18
1,3,4.0,2020-03-21
2,2,6.0,2020-03-25
3,2,8.0,2020-03-26
4,10,18.0,2020-03-27
5,4,22.0,2020-03-28
6,3,25.0,2020-03-30
7,8,33.0,2020-03-31
400,recovered,231.0,2020-04-01
401,recovered,84.0,2020-03-31
402,recovered,84.0,2020-03-30
403,recovered,84.0,2020-03-29
404,recovered,29.0,2020-03-28
405,recovered,29.0,2020-03-27
406,recovered,1.0,2020-03-26
407,recovered,1.0,2020-03-25
408,recovered,1.0,2020-03-24
409,recovered,1.0,2020-03-23
410,recovered,1.0,2020-03-22
411,recovered,1.0,2020-03-21
412,recovered,1.0,2020-03-20
413,recovered,1.0,2020-03-19
414,recovered,1.0,2020-03-18
415,recovered,0.0,2020-03-17
416,recovered,0.0,2020-03-16
417,recovered,0.0,2020-03-15
418,recovered,0.0,2020-03-14
419,recovered,0.0,2020-03-13
420,recovered,0.0,2020-03-12
421,recovered,0.0,2020-03-11
422,recovered,0.0,2020-03-10
423,recovered,0.0,2020-03-09
424,recovered,0.0,2020-03-08
425,recovered,0.0,2020-03-07
426,recovered,0.0,2020-03-06
427,recovered,0.0,2020-03-05
428,recovered,0.0,2020-03-04
429,recovered,0.0,2020-03-03
430,recovered,0.0,2020-03-02
431,recovered,0.0,2020-03-01
432,recovered,0.0,2020-02-29
433,recovered,0.0,2020-02-28
434,recovered,0.0,2020-02-27
435,recovered,,2020-02-26
436,recovered,,2020-02-25
437,recovered,,2020-02-24
438,recovered,,2020-02-23
439,recovered,,2020-02-22
440,recovered,,2020-02-21
441,recovered,,2020-02-20
442,recovered,,2020-02-19
443,recovered,,2020-02-18
444,recovered,,2020-02-17
445,recovered,,2020-02-16
446,recovered,,2020-02-15
447,recovered,,2020-02-14
448,recovered,,2020-02-13
449,recovered,,2020-02-12
